,Product Name,Price,Brand,Categories,Product Sold,Stock,Rating,5 Start,4 Start,3 Start,2 Start,1 Start,Total Rating,No of Comments,Image and Video,Parent Category
6135,"Chuyên sỉ lẻ các loại giày dep quảng châu cao cấp, Com bo dép dành cho khách le  chỉ tu 100k với đủ  màu mẫu ma Đa dạng",108000.0,HỒNG THẠNH,Giày Dép Nam/Xăng-đan và Dép/Xăng-đan,126,185,4.8,59,3,0,0,2,64,34,26,Giày Dép Nam
6136,Dép quai nang nam nữ ny. MLB chữ thêu sắc nét có tem mác đầy đủ,94120.0,HỒNG THẠNH,Giày Dép Nam/Xăng-đan và Dép/Khác,594,20829,4.8,192,11,5,1,5,214,109,80,Giày Dép Nam
6137,Giày Cv Hoa Cúc Học Sinh Size 35-44 2 Màu Đen Trắng,40000.0,HỒNG THẠNH,Giày Dép Nam/Giày Thể Thao/ Sneakers,893,784,4.8,322,17,8,4,8,359,225,179,Giày Dép Nam
6138,Giày Superstar da miếng kiểu dáng classic lên chân cực đẹp fullbox mới về tại shop.,446100.0,HỒNG THẠNH,Giày Dép Nam/Giày Thể Thao/ Sneakers,2600,23,4.8,253,18,2,4,4,281,164,137,Giày Dép Nam
6139,Giày nữ cao gót 3P da mờ Rozalo R5623,179000.0,ROZALO,Giày Dép Nữ/Giày Cao Gót,424,4502,4.8,169,16,2,2,1,190,115,90,Giày Dép Nữ
6140,[HCM]Dép Nam nữ Unisex Quai Ngang Dán In Hình Hoạt Hình Cá Tính Chất Liệu Cao Cấp Siêu Nhẹ,65000.0,ROZALO,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,412,1970,0.0,0,0,0,0,0,154,0,0,Giày Dép Nam
6141,Giày đốc nữ phối khóa đồng ngang gót 3cm thời trang,103000.0,ROZALO,Giày Dép Nữ/Giày Đế Bằng/Giày Oxford & Giày Buộc Dây,520,365,0.0,0,0,0,0,0,229,0,0,Giày Dép Nữ
6142,Dép Bánh Mì Đế Siêu Nhẹ Đế Xịn Quai Mềm Thời Trang Trắng Đen FULL Size 35-39 [RẺ ĐẸP],79900.0,ROZALO,Giày Dép Nữ/Giày Đế Xuồng,941,428,4.9,324,12,7,5,0,348,211,163,Giày Dép Nữ
6143,Dép nữ 2 quai phong cách Hàn Quốc LND11,59000.0,ROZALO,Giày Dép Nam/Xăng-đan và Dép/Xăng-đan,222,9773,0.0,0,0,0,0,0,158,0,0,Giày Dép Nam
6144,"Dép đi trong nhà tắm văn phòng xốp lỗ siêu bền, siêu nhẹ (nhẹ hơn dép nhựa), siêu rẻ, chống trơn trượt 1899",21949.5,ROZALO,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,876,6678,0.0,0,0,0,0,0,126,0,0,Giày Dép Nam
